"slider_crank_v2"

"Time      "	".JOINT_3.Element_Force.X"	".JOINT_3.Element_Force.Y"	".JOINT_3.Element_Force.Mag"
6.767361e-02	-1.148367e-01	1.920121e+00	1.923553e+00
6.800000e-02	1.217883e-02	5.205246e-01	5.206673e-01
6.829012e-02	1.507442e-02	5.108910e-01	5.111136e-01
6.864506e-02	7.890442e-03	6.055057e-01	6.055581e-01
6.900000e-02	2.281353e-02	4.019193e-01	4.025665e-01
6.933333e-02	1.967076e-02	4.923374e-01	4.927334e-01
7.000000e-02	1.963046e-02	4.793227e-01	4.797252e-01
7.100000e-02	1.849644e-02	4.955040e-01	4.958522e-01
7.200000e-02	1.280214e-02	5.636066e-01	5.637523e-01
7.300000e-02	-5.650176e-02	1.277945e+00	1.279195e+00
7.330822e-02	1.071367e-02	6.129813e-01	6.130758e-01
7.400000e-02	1.810039e-02	5.126867e-01	5.130067e-01
7.432673e-02	9.068849e-03	6.241054e-01	6.241713e-01
7.500000e-02	-1.051818e-01	1.789106e+00	1.792195e+00
7.547432e-02	4.373398e-02	2.196566e-01	2.239680e-01
7.600000e-02	4.303493e-02	2.196726e-01	2.238483e-01
7.642164e-02	4.506177e-02	2.196972e-01	2.242709e-01
7.700000e-02	4.390746e-02	2.196952e-01	2.240398e-01
7.788219e-02	-9.274317e-02	1.712312e+00	1.714822e+00
7.800000e-02	4.350021e-02	2.197056e-01	2.239706e-01
7.900000e-02	2.663284e-02	4.229965e-01	4.238341e-01
7.962888e-02	-1.653424e-01	2.381820e+00	2.387553e+00
7.993815e-02	3.048772e-02	4.306763e-01	4.317541e-01
8.000000e-02	2.399529e-02	4.278161e-01	4.284885e-01
8.100000e-02	2.581126e-02	4.280854e-01	4.288629e-01
8.200000e-02	-9.067103e-02	1.657492e+00	1.659970e+00
8.255734e-02	1.775461e-02	4.987355e-01	4.990514e-01
8.300000e-02	1.444427e-02	5.492639e-01	5.494537e-01
8.400000e-02	-4.108892e-02	1.111560e+00	1.112319e+00
8.429302e-02	3.493243e-03	6.488142e-01	6.488237e-01
8.500000e-02	1.985625e-02	4.934968e-01	4.938962e-01
8.600000e-02	-9.277277e-04	7.272592e-01	7.272598e-01
8.639583e-02	3.089610e-02	4.247792e-01	4.259013e-01
8.669792e-02	2.378632e-02	4.352082e-01	4.358578e-01
8.700000e-02	2.434787e-02	4.278837e-01	4.285759e-01
8.760417e-02	2.765877e-02	4.039528e-01	4.048986e-01
8.800000e-02	1.362704e-02	5.197378e-01	5.199164e-01
8.865387e-02	4.637232e-02	2.198022e-01	2.246406e-01
8.891063e-02	4.299130e-02	2.610307e-01	2.645473e-01
8.900000e-02	4.297139e-02	2.515269e-01	2.551712e-01
8.925573e-02	2.946536e-02	3.988725e-01	3.999594e-01
8.974737e-02	4.791132e-02	2.196944e-01	2.248580e-01
9.000000e-02	1.722215e-02	4.330773e-01	4.334197e-01
9.033333e-02	-2.007833e-01	3.066563e+00	3.073130e+00
